"variableType","bufferSize","lowerR","r","upperR","p","persistence"
"waterArea1000",50,NA,NA,NA,NA,50
"waterArea1000",100,-0.0167587525527833,0.00683647535469425,0.0304240931544354,0.570125720140457,50
"waterArea1000",1000,0.0095614840499792,0.0331465317632993,0.0566947207964414,0.00588691302360808,50
"waterArea1000",10000,0.0497446290566034,0.0732511862549679,0.0966766364763266,0.00000000111045666946854,50
"waterArea1000",100000,0.137548871220796,0.160620163578488,0.183517261698867,0.0000000000000000000000000000000000000000409426671249592,50
"waterArea5000",50,NA,NA,NA,NA,50
"waterArea5000",100,NA,NA,NA,NA,50
"waterArea5000",1000,-0.0256088491164109,-0.00201754317736808,0.0215760087107797,0.866910699702725,50
"waterArea5000",10000,0.0468677614555076,0.0703824624308093,0.0938192005416524,0.00000000962933557295944,50
"waterArea5000",100000,0.140268819953216,0.163320867812708,0.186195951470101,0.00000000000000000000000000000000000000000181494884026111,50
"waterBodies",50,-0.0350517631379054,-0.0114687224148869,0.012127083777432,0.340762141025817,50
"waterBodies",100,-0.0397358127628591,-0.0161584358888323,0.00743692409579051,0.179511875653374,50
"waterBodies",1000,-0.0182445069925472,0.0053503208604386,0.0289391928292709,0.656740324208889,50
"waterBodies",10000,-0.0259905041011849,-0.00239945050706711,0.0211942741746852,0.842023077896339,50
"waterBodies",100000,-0.0612392861439882,-0.0377012315900527,-0.0141212671015396,0.00173206554208493,50
"total_precipitation",50,0.164491476212501,0.187652996821399,0.210607697186767,0.00000000000000000000000000000000000000000000000000000234711746172007,50
"total_precipitation",100,0.164942973567228,0.188100704450603,0.21105115778202,0.00000000000000000000000000000000000000000000000000000130284269023064,50
"total_precipitation",1000,0.164321222301397,0.187393792445677,0.210261422267754,0.00000000000000000000000000000000000000000000000000000127391083475616,50
"total_precipitation",10000,0.167520261992655,0.190360439416973,0.212996379803242,0.00000000000000000000000000000000000000000000000000000000250307881624901,50
"total_precipitation",100000,0.283758723601526,0.305307342614592,0.326547753482853,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007782008,50
"distance20",50,0.00201805252342097,0.0264941952257987,0.050938612437432,0.0338813871327079,50
"distance20",100,0.00157592420342199,0.0260485541653511,0.0504900012663416,0.0369686889594396,50
"distance20",1000,-0.00068031048058711,0.0237461587352219,0.0481443084297123,0.0567318958790778,50
"distance20",10000,-0.00790369497058387,0.0162862563813973,0.0404571577626458,0.186959884831579,50
"distance20",100000,-0.0727813585278831,-0.0491842229574985,-0.0255320525143083,0.0000465230772918254,50
"distance500",50,-0.0338851911026313,-0.00702400513574037,0.0198473211247317,0.608440050788248,50
"distance500",100,-0.036738192193214,-0.00988793880420721,0.016976580698959,0.470665404234912,50
"distance500",1000,-0.0377940519645319,-0.011040545728443,0.0157287763219603,0.418881644785888,50
"distance500",10000,-0.0405340505776365,-0.0146380283519142,0.01127764562304,0.268252863335658,50
"distance500",100000,-0.120994161373544,-0.0973993747491146,-0.073694591879085,0.00000000000000111737344928676,50
"distance1000",50,-0.104028143899098,-0.0718314838480145,-0.0394844275226543,0.0000139633648116804,50
"distance1000",100,-0.109010689663908,-0.0807590733291568,-0.0523770955885479,0.0000000535745318069517,50
"distance1000",1000,-0.109795614066707,-0.0816791949056671,-0.0534321642635815,0.0000000319167665869913,50
"distance1000",10000,-0.118786798885236,-0.0915643168876707,-0.0642042860150982,0.0000000000644025928846046,50
"distance1000",100000,-0.104191012482655,-0.0801971387804241,-0.0561099660141277,0.0000000000773293543179031,50
"distance5000",50,NA,NA,NA,NA,50
"distance5000",100,-0.204189703248878,-0.122602065143476,-0.0393229512207507,0.00401512159217115,50
"distance5000",1000,-0.169903973071268,-0.131009599111495,-0.0917077021357451,0.000000000183340207719503,50
"distance5000",10000,-0.183316076495122,-0.147221439733958,-0.110730391197523,0.00000000000000535662716476057,50
"distance5000",100000,-0.0062667932412269,0.0196116293185546,0.0454638008953775,0.137440009314332,50
"waterArea",50,-0.0025009156733195,0.0210928537595986,0.0446631527636998,0.0797333274493542,90
"waterArea",100,-0.000272588831929896,0.0233200860339694,0.0468868147528682,0.052708061441815,90
"waterArea",1000,0.024303709037467,0.0478687866451021,0.0713806980651174,0.0000693757379560824,90
"waterArea",10000,0.0482336396669026,0.0717445226404675,0.0951759494439824,0.00000000241623068695682,90
"waterArea",100000,0.138403066262056,0.161468352131743,0.184358572974823,0.0000000000000000000000000000000000000000154770181010479,90
"waterArea20",50,-0.00309021560371366,0.0205038041394511,0.0440750083418116,0.0885135825094848,90
"waterArea20",100,-0.00112691019227997,0.0224662120022421,0.046034337100811,0.0619921826781763,90
"waterArea20",1000,0.0243368819450988,0.0479019030746482,0.0714137214043486,0.0000685762746844114,90
"waterArea20",10000,0.0483884331170522,0.0718988778691435,0.0953296972783347,0.00000000223284341690035,90
"waterArea20",100000,0.138437123551545,0.161502169232423,0.184392115184556,0.0000000000000000000000000000000000000000148865705345722,90
"waterArea500",50,-0.0351234445375907,-0.0115404826740389,0.0120553245116694,0.337749369161419,90
"waterArea500",100,-0.0256881566262616,-0.00209690255780349,0.0214966858026484,0.861727390942038,90
"waterArea500",1000,0.0177723135783915,0.041347501722375,0.0648767398770518,0.000590531625909998,90
"waterArea500",10000,0.0496445443316362,0.0731513913782305,0.0965772407560505,0.00000000233939712191122,90
"waterArea500",100000,0.138047954438413,0.161115741504938,0.184008825457159,0.0000000000000000000000000000000000000000232063527419524,90
"waterArea1000",50,NA,NA,NA,NA,90
"waterArea1000",100,NA,NA,NA,NA,90
"waterArea1000",1000,0.0134788417672122,0.0370595817166193,0.0605991230327191,0.00207455409287358,90
"waterArea1000",10000,0.0509743028138959,0.0744772604220024,0.0978977684979,0.0000000011662455497166,90
"waterArea1000",100000,0.13713489878474,0.160209089835091,0.183109508953085,0.0000000000000000000000000000000000000000654787997104183,90
"waterArea5000",50,NA,NA,NA,NA,90
"waterArea5000",100,NA,NA,NA,NA,90
"waterArea5000",1000,NA,NA,NA,NA,90
"waterArea5000",10000,0.0529010880347456,0.0763982625302292,0.0998108854974884,0.000000000416377231936398,90
"waterArea5000",100000,0.127629377098101,0.150767924804906,0.173742448500308,0.00000000000000000000000000000000000224026904303238,90
"waterBodies",50,-0.00642865785918935,0.0171664706427796,0.0407424948097112,0.153866162797032,90
"waterBodies",100,-0.0112475772996948,0.0123482243026939,0.0359302817780519,0.305022412247554,90
"waterBodies",1000,-0.0211596575022855,0.00243408250848087,0.0260251128794432,0.83977362178069,90
"waterBodies",10000,-0.000240481230465121,0.0233521761525486,0.046918851723707,0.052383131727217,90
"waterBodies",100000,0.0808478193527064,0.104241513545986,0.127520424843643,0.00000000000000000387850638359888,90
"total_precipitation",50,0.164491476212501,0.187652996821399,0.210607697186767,0.00000000000000000000000000000000000000000000000000000234711746172007,90
"total_precipitation",100,0.164942973567228,0.188100704450603,0.21105115778202,0.00000000000000000000000000000000000000000000000000000130284269023064,90
"total_precipitation",1000,0.164321222301397,0.187393792445677,0.210261422267754,0.00000000000000000000000000000000000000000000000000000127391083475616,90
"total_precipitation",10000,0.167520261992655,0.190360439416973,0.212996379803242,0.00000000000000000000000000000000000000000000000000000000250307881624901,90
"total_precipitation",100000,0.283758723601525,0.305307342614591,0.326547753482852,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007782008,90
"distance20",50,-0.0366006734155445,-0.00861161578621424,0.0193909418137839,0.546686985136047,90
"distance20",100,-0.0387751724448164,-0.0107975745083739,0.0171969391365864,0.449668422477374,90
"distance20",1000,-0.0379725654644324,-0.0101271415564166,0.0177339973419436,0.476206052716113,90
"distance20",10000,-0.00928977926611889,0.0170100389397488,0.0432863403598616,0.204901324056318,90
"distance20",100000,-0.0786499460517095,-0.054782612984672,-0.0308525136260171,0.00000739498770053642,90
"distance500",50,-0.133831670479741,-0.104403076710735,-0.0747905122585129,0.000000000012545700343515,90
"distance500",100,-0.134837902716215,-0.105433632398587,-0.0758438311260604,0.00000000000753919962228536,90
"distance500",1000,-0.138712774654704,-0.109499452127202,-0.0800957309305354,0.000000000000803283146139607,90
"distance500",10000,-0.159674918004097,-0.131751319232594,-0.103617053318992,0.0000000000000000000983254738274899,90
"distance500",100000,-0.104668777045801,-0.0801291565330858,-0.0554920199713178,0.000000000415858320316704,90
"distance1000",50,-0.14275754952367,-0.106688942524758,-0.0703373436204184,0.0000000208761741957686,90
"distance1000",100,-0.142962636852256,-0.111337389892352,-0.0794850184794863,0.0000000000195787080196033,90
"distance1000",1000,-0.145065018572003,-0.113660108966464,-0.0820264116957955,0.00000000000521934510313546,90
"distance1000",10000,-0.164865121555857,-0.13528817909638,-0.105468142895373,0.00000000000000000132640018399728,90
"distance1000",100000,-0.135481123331294,-0.110653573736252,-0.0856871452836964,0.00000000000000000616608749815062,90
"distance5000",50,NA,NA,NA,NA,90
"distance5000",100,-0.421369771575117,-0.329361489162581,-0.230641992774846,0.00000000114676762300127,90
"distance5000",1000,-0.349339480747681,-0.303777042648337,-0.256781435240868,0.00000000000000000000000000000000601294360812154,90
"distance5000",10000,-0.307732904447275,-0.265036994446124,-0.221275856203219,0.00000000000000000000000000000578211052363556,90
"distance5000",100000,-0.130438348437556,-0.102505302146396,-0.0744096556541343,0.00000000000226292220585163,90
