"variableType","bufferSize","lowerR","r","upperR","p","persistence"
"waterBodies",50,-0.0290108459609797,-0.00542203211873831,0.0181728174307224,0.652440208125699,20
"waterBodies",100,-0.0216480526817162,0.00194546582342102,0.0255368186160612,0.871623356803233,20
"waterBodies",1000,-0.0428749052269973,-0.0193019047369248,0.00429257491176071,0.108840216134933,20
"waterBodies",10000,-0.0512994315445918,-0.0277404804866918,-0.00415067207559118,0.0211857703343261,20
"waterBodies",100000,-0.0955132062622971,-0.0720831132906778,-0.0485731930696817,0.00000000406330569550117,20
"total_precipitation",50,0.230903406382081,0.253404242831349,0.275634182313317,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000477916190867631,20
"total_precipitation",100,0.232570387830241,0.255051970279854,0.27726113826778,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233753169064672,20
"total_precipitation",1000,0.231982632661769,0.254383414245178,0.27651452172523,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134912596979041,20
"total_precipitation",10000,0.229165693073943,0.251399004781875,0.273370133883054,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000576258228154524,20
"total_precipitation",100000,0.283758723601525,0.305307342614591,0.326547753482852,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007782008,20
"distance20",50,-0.0551416312030011,-0.0311763522284798,-0.00717517340006492,0.0109104925902909,20
"distance20",100,-0.0561961927560308,-0.032234928479947,-0.00823655344991607,0.00848271254506545,20
"distance20",1000,-0.0591258982225524,-0.0351764639571128,-0.0111865587145964,0.00406317609946467,20
"distance20",10000,-0.0621043909410453,-0.0382406250310432,-0.0143331609738902,0.00172463508262712,20
"distance20",100000,-0.135877874346131,-0.112641393393012,-0.089281054707963,0.00000000000000000000633948665886747,20
"distance500",50,-0.050962265983294,-0.025785808550537,-0.000576597937265294,0.0449892497686108,20
"distance500",100,-0.0448867565907252,-0.0197057177629276,0.00550034580635676,0.125442557016957,20
"distance500",1000,-0.0449511342923871,-0.0198324967205944,0.00531120214494453,0.122103168607724,20
"distance500",10000,-0.0565173336230599,-0.0317054837582081,-0.00685449541123513,0.0124109376144993,20
"distance500",100000,-0.112727098725465,-0.0891485436171932,-0.0654696452370297,0.000000000000397873019632109,20
"distance1000",50,-0.0175573482699991,0.0120992562424711,0.041734589970819,0.423923120917648,20
"distance1000",100,-0.0113505056607904,0.0145924022245674,0.0405156784141222,0.270250671566691,20
"distance1000",1000,-0.0139010540949059,0.0119649710226801,0.0378149933967959,0.364591674256613,20
"distance1000",10000,-0.0348205458841436,-0.00957757168840456,0.0156776153386605,0.457310800430861,20
"distance1000",100000,-0.0975039705793602,-0.0738488256695926,-0.0501102880405897,0.00000000237208734235947,20
"distance5000",50,NA,NA,NA,NA,20
"distance5000",100,-0.216138318475133,-0.153373815798544,-0.0893469159871879,0.00000654307078046947,20
"distance5000",1000,-0.147741988993184,-0.117424331609493,-0.0868862008716668,0.000000000000144735251193929,20
"distance5000",10000,-0.146792240715819,-0.117986476098433,-0.0889807651895848,0.00000000000000247887881917503,20
"distance5000",100000,-0.108585520295074,-0.0837281978074424,-0.0587662371620815,0.0000000000566847580040828,20
"waterArea",50,0.0078829210544558,0.0314695932951361,0.0550212678039947,0.00893284580868741,50
"waterArea",100,0.00841634465501753,0.0320025150384143,0.0555530962253859,0.00783931482061849,50
"waterArea",1000,0.0273322165386895,0.0508919244867731,0.0743951254592868,0.0000233703165610081,50
"waterArea",10000,0.0525353513884598,0.0760336370298907,0.0994477699797897,0.00000000025363301717337,50
"waterArea",100000,0.140726756353679,0.163775530190444,0.18664687428126,0.00000000000000000000000000000000000000000106836242858643,50
"waterArea20",50,0.00920322350127044,0.0327886290884912,0.0563375731195862,0.00644453881446066,50
"waterArea20",100,0.00887415917755795,0.0324598881443918,0.0560095203463952,0.00699811909866301,50
"waterArea20",1000,0.0273295325283657,0.0508892454264423,0.0743924543081586,0.0000233934909346835,50
"waterArea20",10000,0.0524854721035048,0.0759839087963893,0.0993982471969911,0.000000000260537123482733,50
"waterArea20",100000,0.137818306057991,0.160887707495643,0.183782639939637,0.0000000000000000000000000000000000000000301412309358731,50
"waterArea500",50,-0.0351234445375907,-0.0115404826740389,0.0120553245116694,0.337749369161419,50
"waterArea500",100,-0.0271563939148181,-0.00356615381335917,0.0200280561316386,0.767064219774811,50
"waterArea500",1000,0.0273440801096755,0.0509037661742765,0.0744069321833631,0.0000232681451133211,50
"waterArea500",10000,0.0523915667457696,0.075890287498849,0.0993050123782758,0.000000000274036618854747,50
"waterArea500",100000,0.139435765292391,0.162493743978922,0.185375605960346,0.00000000000000000000000000000000000000000474060440555095,50
"waterArea1000",50,NA,NA,NA,NA,50
"waterArea1000",100,-0.00100645611350828,0.0225866050948912,0.0461545353879188,0.0606064535131864,50
"waterArea1000",1000,0.0144609366305758,0.0380404832516768,0.0615777439023745,0.00157277415122943,50
"waterArea1000",10000,0.0521085588240729,0.0756081331596226,0.0990240203159508,0.000000000318984684683678,50
"waterArea1000",100000,0.139282438432509,0.162341505179081,0.185224611290171,0.00000000000000000000000000000000000000000565378786392418,50
